2025-06-22 11:01:48,427 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:01:50,825 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:01:55,840 - ERROR - [in d:\vs code\TN4_old\TN4\src\app.py:290] MQTT Loop Error: timed out
2025-06-22 11:40:01,713 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 11:40:03,488 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:106] Start: GF-CICO
2025-06-22 12:16:59,417 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:18:26,617 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:18:28,441 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:20:32,329 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:20:34,149 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:109] Start: GF-CICO
2025-06-22 12:49:52,631 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:108] Start: GF-CICO
2025-06-22 14:00:16,229 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 0, Offline = 2, Total = 2
2025-06-22 14:05:15,682 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:05:16,230 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:10:15,691 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:10:16,246 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:15:15,708 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:15:16,271 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:20:16,018 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:20:16,291 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:25:16,028 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:25:16,312 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:30:16,290 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:30:16,318 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:35:16,289 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:35:16,331 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:40:16,357 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:40:17,292 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 1, Offline = 1, Total = 2
2025-06-22 14:45:16,379 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:45:17,337 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:50:16,631 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:50:17,349 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:55:16,655 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 14:55:17,353 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:00:16,902 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:00:17,366 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:05:16,927 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:05:17,374 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:10:17,175 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:10:17,386 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:15:17,208 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:15:17,395 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:20:17,443 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:20:18,213 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 1, Offline = 1, Total = 2
2025-06-22 15:25:17,453 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:25:18,212 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:30:17,714 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:30:18,215 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:35:17,711 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:35:18,248 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:40:17,881 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:40:18,288 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:45:17,890 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:45:18,295 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:50:18,156 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:50:18,328 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:55:18,180 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 15:55:18,352 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:00:18,423 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:00:19,185 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 1, Offline = 1, Total = 2
2025-06-22 16:05:18,447 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:05:19,198 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:10:18,702 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:10:19,202 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:15:18,724 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:15:19,217 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:20:18,965 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:20:19,233 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:25:18,953 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:25:19,216 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:30:19,166 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:30:19,188 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:35:19,151 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:40:19,259 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:40:20,113 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 1, Offline = 1, Total = 2
2025-06-22 16:45:19,243 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:45:20,099 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:50:19,447 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:50:20,071 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:55:19,434 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 16:55:20,049 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:00:19,657 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:00:20,031 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:05:19,708 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:05:20,008 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:10:19,880 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:10:20,011 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:15:19,876 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:15:20,026 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:20:21,882 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 0, Offline = 2, Total = 2
2025-06-22 17:20:22,009 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 0, Offline = 2, Total = 2
2025-06-22 17:25:21,915 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:25:22,063 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:30:21,915 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:30:22,043 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:35:21,935 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:35:22,044 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:40:22,133 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:40:22,949 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:45:22,146 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:45:22,991 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:50:22,387 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:50:23,005 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:55:22,396 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 17:55:23,011 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:00:22,627 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:00:23,027 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:05:22,635 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:05:23,016 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:10:22,886 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:10:23,023 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:15:22,886 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:15:23,039 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:20:23,144 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:20:23,886 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 1, Offline = 1, Total = 2
2025-06-22 18:25:23,168 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:25:23,887 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:30:23,410 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:30:23,929 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:35:23,425 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:35:23,949 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:40:23,595 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
2025-06-22 18:40:23,966 - INFO - [in d:\vs code\TN4_old\TN4\src\app.py:349] Checked device status: Online = 2, Offline = 0, Total = 2
